"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2489","Search an inexistent product","Regular User Test","Fri Feb 28 14:54:13 GMT 2025","passed","Fri Feb 28 14:54:15 GMT 2025","","","",""
"","588","Login failed - Empty password","Login Test","Fri Feb 28 14:53:56 GMT 2025","passed","Fri Feb 28 14:53:57 GMT 2025","","","",""
"","4577","Create a new user successfully","Signup Test","Fri Feb 28 14:53:58 GMT 2025","passed","Fri Feb 28 14:54:03 GMT 2025","","","",""
"","1047","Login failed - Invalid email and/or password","Login Test","Fri Feb 28 14:53:54 GMT 2025","passed","Fri Feb 28 14:53:55 GMT 2025","","","",""
"","4515","Create a new admin user successfully","Signup Test","Fri Feb 28 14:54:03 GMT 2025","passed","Fri Feb 28 14:54:07 GMT 2025","","","",""
"","2081","Login successfully","Login Test","Fri Feb 28 14:53:52 GMT 2025","passed","Fri Feb 28 14:53:54 GMT 2025","","","",""
"","185","Should return the products list","Test endpoint /produtos/","Fri Feb 28 14:53:49 GMT 2025","passed","Fri Feb 28 14:53:49 GMT 2025","","","",""
"","539","Login failed - Empty email","Login Test","Fri Feb 28 14:53:55 GMT 2025","passed","Fri Feb 28 14:53:56 GMT 2025","","","",""
"","76","Should create an user successfully","Test endpoint /usuarios/","Fri Feb 28 14:53:50 GMT 2025","passed","Fri Feb 28 14:53:50 GMT 2025","","","",""
"","3164","Add a new product","Admin User Test","Fri Feb 28 14:54:08 GMT 2025","passed","Fri Feb 28 14:54:12 GMT 2025","","","",""
"","72","Should return the user list","Test endpoint /usuarios/","Fri Feb 28 14:53:50 GMT 2025","passed","Fri Feb 28 14:53:50 GMT 2025","","","",""
"","295","Login failed - Empty password and email","Login Test","Fri Feb 28 14:53:57 GMT 2025","passed","Fri Feb 28 14:53:57 GMT 2025","","","",""
