"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1973","Login successfully","Login Test","Fri Feb 28 14:58:04 GMT 2025","passed","Fri Feb 28 14:58:06 GMT 2025","","","",""
"","2407","Search an inexistent product","Regular User Test","Fri Feb 28 14:58:25 GMT 2025","passed","Fri Feb 28 14:58:27 GMT 2025","","","",""
"","56","Should create an user successfully","Test endpoint /usuarios/","Fri Feb 28 14:58:02 GMT 2025","passed","Fri Feb 28 14:58:02 GMT 2025","","","",""
"","131","Should return the products list","Test endpoint /produtos/","Fri Feb 28 14:58:01 GMT 2025","passed","Fri Feb 28 14:58:01 GMT 2025","","","",""
"","4517","Create a new user successfully","Signup Test","Fri Feb 28 14:58:10 GMT 2025","passed","Fri Feb 28 14:58:15 GMT 2025","","","",""
"","4514","Create a new admin user successfully","Signup Test","Fri Feb 28 14:58:15 GMT 2025","passed","Fri Feb 28 14:58:19 GMT 2025","","","",""
"","307","Login failed - Empty password and email","Login Test","Fri Feb 28 14:58:08 GMT 2025","passed","Fri Feb 28 14:58:09 GMT 2025","","","",""
"","1044","Login failed - Invalid email and/or password","Login Test","Fri Feb 28 14:58:06 GMT 2025","passed","Fri Feb 28 14:58:07 GMT 2025","","","",""
"","69","Should return the user list","Test endpoint /usuarios/","Fri Feb 28 14:58:02 GMT 2025","passed","Fri Feb 28 14:58:02 GMT 2025","","","",""
"","585","Login failed - Empty password","Login Test","Fri Feb 28 14:58:08 GMT 2025","passed","Fri Feb 28 14:58:08 GMT 2025","","","",""
"","3170","Add a new product","Admin User Test","Fri Feb 28 14:58:20 GMT 2025","passed","Fri Feb 28 14:58:23 GMT 2025","","","",""
"","518","Login failed - Empty email","Login Test","Fri Feb 28 14:58:07 GMT 2025","passed","Fri Feb 28 14:58:08 GMT 2025","","","",""
